"","Forest type","Species","Individual number","LT (mm)","LA (cm²)","SLA (cm2 g-1)","LDMC (g g-1)","LTD (g cm-3)","TDMC (g g-1)","TTD (g cm-3)","BT (mm)","BDMC (g g-1)","BTD (g cm-3)","SDMC (g g-1)","STD (g cm-3)","LC (mg g-1)","LN (mg g-1)","LP (mg g-1)","LCN","LCP","LNP","TC (mg g-1)","TN (mg g-1)","TP (mg g-1)","TCN","TCP","TNP","BC (mg g-1)","BN (mg g-1)","BP (mg g-1)","BCN","BCP","BNP","SC (mg g-1)","SN (mg g-1)","SP (mg g-1)","SCN","SCP","SNP"
"1","Disturbed forests","Acer cordatum",1,0.218,9.56705,142.791791044776,0.454237288135593,0.642495752695522,0.615217391304348,0.653579676674365,"2.802","0.725146198830409","0.911764705882353","0.687943262411347","0.74234693877551",449.8,16.62,1.09889094269871,27.0637785800241,409.321783010932,15.1243397813288,455.35,4.65,0.558550185873606,97.9247311827957,815.235607321131,8.32512479201331,"437.43","3.71","0.37719298245614","117.905660377358","1159.69813953488","9.83581395348838","460.61","1.98","0.221715328467153","232.631313131313","2077.48378600823","8.93037037037038"
"2",NA,NA,2,0.226,9.00575,131.470802919708,0.429467084639498,0.673119607212599,0.594405594405594,0.607142857142857,"2.174","0.621212121212121","0.778481012658228","0.687830687830688","0.714285714285714",455.84,13.61,1.04924242424242,33.4930198383542,434.446787003612,12.9712635379062,454.41,4.94,0.504761904761905,91.9858299595142,900.246226415094,9.78679245283018,"445.87","5.54","0.425343811394892","80.4819494584837","1048.25787528868","13.0247575057737","462.57","1.54","0.1640838650866","300.37012987013","2819.10716666666","9.38544444444443"
"3",NA,NA,3,0.2415,7.308,146.16,0.416666666666667,0.566610118976793,0.581039755351682,0.633333333333333,"1.488","0.672727272727273","0.778947368421053","0.711267605633803","0.731884057971015",447.38,15.03,1.10821256038647,29.7658017298736,403.695117698345,13.5623801220576,464.54,3.28,0.619227144203581,141.628048780488,750.193211567733,5.29692541856926,"445.56","5.41","0.447916666666667","82.358595194085","994.738604651162","12.0781395348837","455.38","1.49","0.223735408560311","305.624161073826","2035.35060869565","6.65965217391305"
"4",NA,NA,4,0.2455,9.35485,126.416891891892,0.449848024316109,0.644426499440312,0.594594594594595,0.670731707317073,"2.22","0.608863198458574","0.745283018867924","0.618874773139746","0.681318681318681",449.25,14.99,1.05555555555556,29.9699799866578,425.605263157893,14.2010526315789,449.27,4.6,0.605113636363636,97.6673913043478,742.455586854461,7.60187793427231,"443.82","5.99","0.521489971346705","74.093489148581","851.061428571428","11.4863186813187","460.64","1.59","0.213461538461538","289.710691823899","2157.95315315316","7.44864864864867"
"5",NA,NA,5,0.2325,5.9701,131.210989010989,0.435406698564593,0.655596806523116,0.579365079365079,0.623931623931624,"0.916","0.5850622406639","0.607758620689655","0.67312661498708","0.723611111111111",453.54,13.52,1.07488151658768,33.5458579881657,421.944179894179,12.5781305114638,467.56,3.74,0.562926829268293,125.016042780749,830.587521663778,6.64384748700173,"453.94","6.71","0.5311004784689","67.6512667660209","854.715855855855","12.6341441441441","461.01","1.34","0.21157495256167","344.037313432836","2178.94412556054","6.3334529147982"
"6",NA,"Acer davidii",1,0.4085,40.59235,143.182892416226,0.387824897400821,0.341937556204761,0.55078125,0.484536082474227,"1.21","0.360119047619048","0.373456790123457","0.586153846153846","0.482278481012658",463.46,16.44,1.05211406096362,28.19099756691,440.503570093457,15.6256822429906,462.99,2.25,0.430147058823529,205.773333333333,1076.35282051282,5.23076923076924,"456.31","5.64","0.658627087198516","80.9060283687943","692.819971830986","8.5632676056338","464.68","1.01","0.204393505253104","460.079207920792","2273.45775700935","4.94144859813084"
"7",NA,NA,2,0.303,30.4868,168.435359116022,0.362362362362362,0.391880903193249,0.543664717348928,0.491887125220459,"2.518","0.444711538461538","0.457543281121187","0.402414486921529","0.5",470.23,16.69,1.26247689463956,28.1743559017376,372.466222547583,13.2200439238653,463.39,2.59,0.484330484330484,178.915057915058,956.76405882353,5.34758823529412,"432.73","4.36","0.617137648131267","99.25","701.188788774003","7.06487444608567","451.82","2.57","0.522304832713755","175.805447470817","865.050391459074","4.92049822064057"
"8",NA,NA,3,0.305,31.68905,181.599140401146,0.384361233480176,0.361090753772034,0.565384615384615,0.43620178041543,"3.586","0.459473684210526","0.447692307692308","0.433898305084746","0.463768115942029",458.32,14.43,1.31060606060606,31.7616077616078,349.700809248555,11.0101734104046,459.81,2.21,0.484082397003745,208.058823529412,949.858955512573,4.56533849129594,"437.6","3.91","0.686609686609687","111.918158567775","637.334439834024","5.69464730290456","458.11","2.32","0.733772342427093","197.461206896552","624.321705128205","3.16174358974359"
"9",NA,NA,4,0.218,43.5301,229.710290237467,0.353874883286648,0.399386197158229,0.572425828970332,0.448087431693989,"1.046","0.382830626450116","0.354838709677419","0.628120893561104","0.491516709511568",436.96,15.47,1.11679536679537,28.245636716225,391.262368193603,13.8521348314606,467.41,1.47,0.34647112740605,317.965986394558,1349.05902116402,4.24277777777777,"444.84","5.17","0.659735349716446","86.0425531914894","674.270372492837","7.83647564469914","471.53","0.78","0.186046511627907","604.525641025641","2534.47375","4.1925"
"10",NA,NA,5,0.2255,38.7542,181.094392523364,0.383512544802867,0.489754512953383,0.545304777594728,0.436675461741425,"1.4","0.375","0.380689655172414","0.597870182555781","0.491864831038798",454.58,17.73,1.23119777158774,25.639029892837,369.217692307693,14.4006108597286,468.1,1.89,0.400372439478585,247.671957671958,1169.16139534884,4.72060465116279,"449.96","6.17","0.716085271317829","72.9270664505673","628.360920162382","8.61629228687416","469.1","0.97","0.197292069632495","483.60824742268","2377.6931372549","4.91656862745098"
